"code","n_jan16","n_feb16","n_mar16","n_apr16","n_may16","n_jun16","n_jul16","n_aug16","n_spt16","n_oct16","n_nov16","n_dec16","n_jan17","n_feb17","n_mar17","n_apr17"
"r109",32,41,146,1344,1794,1773,2052,2245,2152,2194,2014,1989,2264,2104,2345,2230
"i10",31,24,212,3235,4268,4222,4345,4557,4648,4449,4397,4627,5322,5287,5656,6094
"j069",26,12,52,464,576,430,443,593,982,1112,1380,1864,2247,2148,1550,1119
"r51",22,19,85,1001,1291,1340,1593,1811,1923,1700,1643,1652,1816,1861,1798,1757
"f17210",19,3,56,1083,1220,1223,1352,1373,1551,1496,1554,1569,1840,1896,2051,3443
"n390",19,15,93,1144,1503,1715,2012,2066,2007,1949,1911,1793,2156,1894,2065,1891
"r079",17,23,54,1100,1522,1565,1683,1852,1855,1820,1713,1822,2053,1902,2071,2076
"t148",16,19,45,370,612,685,721,763,800,657,626,571,511,545,610,579
"m549",15,16,41,490,661,655,719,717,753,615,611,612,673,598,708,623
"r0789",15,19,53,903,1142,1213,1322,1462,1440,1428,1388,1468,1693,1498,1790,1719
"r112",15,16,41,903,1141,1268,1392,1533,1507,1501,1584,1952,2270,1990,2064,1695
"r509",15,6,43,797,1008,1096,1284,1213,1310,1205,1238,1393,2077,2222,1756,1343
"e119",14,9,66,1181,1509,1503,1495,1531,1593,1412,1461,1411,1728,1726,1825,1992
"k088",14,7,23,342,426,457,581,607,512,23,2,2,3,1,3,0
"r1110",14,19,47,539,706,768,768,851,917,871,912,1125,1289,1296,1244,1033
"r05",13,16,41,767,892,768,718,901,1309,1379,1717,2258,3025,2912,2095,1574
"g43909",12,17,50,321,454,422,467,535,497,577,488,429,503,447,518,528
"w19xxxa",12,13,35,644,848,997,962,1081,1103,1123,1047,1199,1134,1051,1110,1138
"j029",11,10,23,426,593,606,675,703,747,711,813,872,1040,991,854,786
"r42",11,7,38,625,888,953,1008,1081,948,1013,930,919,1050,1009,1105,1086
"s0990xa",11,7,39,394,600,583,694,785,850,836,742,716,706,710,780,808
"f419",9,17,79,990,1285,1159,1278,1366,1363,1242,1244,1189,1350,1377,1557,1667
"n200",9,4,12,236,324,328,353,374,377,302,308,291,288,286,330,338
"r110",9,6,29,669,982,976,985,1093,1074,969,1024,1076,1176,1108,1192,1037
"e860",8,5,39,695,932,1279,1284,1133,1055,1042,1018,1176,1476,1392,1449,1208
"k029",8,8,15,171,258,281,348,337,316,369,369,316,326,317,354,328
"k529",8,5,29,364,386,429,489,544,584,575,564,766,882,757,868,652
"k5900",8,7,53,598,743,721,928,924,937,919,946,898,1043,869,991,907
"m545",8,14,53,677,981,972,1164,1142,1202,1254,1312,1257,1391,1062,1254,1251
"r55",8,10,40,486,707,781,817,881,880,849,819,877,917,945,978,899
"v892xxa",8,5,16,138,235,226,206,201,226,254,253,232,212,150,210,201
"x58xxxa",8,6,15,385,475,679,803,785,855,694,666,575,599,574,625,621
"a084",7,0,4,101,72,79,101,116,153,182,158,252,309,274,265,173
"d649",7,4,41,596,703,705,745,825,784,758,721,779,867,810,976,1000
"e1165",7,1,38,329,425,517,544,485,506,512,496,598,689,654,697,708
"f10129",7,8,19,235,315,364,386,403,421,392,309,284,341,325,378,359
"j449",7,4,44,548,698,644,648,762,709,734,716,759,821,802,929,930
"r0602",7,9,39,689,871,834,846,844,892,910,952,992,1199,1098,1142,1063
"r197",7,11,50,619,748,798,859,919,967,917,888,1217,1336,1193,1345,1097
"s0101xa",7,3,5,172,216,268,320,307,303,305,255,247,247,266,266,285
"y929",7,8,45,476,601,742,774,799,867,736,617,485,447,497,531,402
"y998",7,9,69,968,1044,1540,1477,1642,1628,1388,1295,1136,1241,1200,1235,972
"b349",6,5,20,239,258,278,298,341,432,457,456,486,723,850,569,367
"i2510",6,0,57,824,994,931,905,949,978,947,934,1004,1248,1210,1371,1430
"j209",6,9,27,269,323,303,264,287,421,430,508,728,791,694,498,359
"j40",6,7,28,255,380,280,267,339,487,447,483,685,705,591,461,351
"k219",6,6,75,875,1123,1002,1085,1186,1040,1040,1077,1076,1188,1281,1500,1523
"m542",6,10,17,287,405,400,467,523,554,492,525,545,522,434,516,552
"r000",6,4,20,281,341,394,377,374,405,422,426,480,532,562,580,503
"r1011",6,5,16,391,376,513,391,407,419,357,401,382,446,345,420,441
"r4182",6,6,18,270,364,411,436,434,446,439,432,459,574,537,514,459
"s161xxa",6,7,20,189,239,229,293,321,311,315,320,287,290,234,290,296
"y92009",6,4,4,734,943,1093,1173,1116,1059,1068,1090,1128,1065,930,1071,1537
"i509",5,6,40,439,548,567,567,567,569,565,587,715,755,779,826,788
"j45909",5,5,31,514,598,578,581,685,779,715,711,639,784,870,896,1085
"r002",5,3,19,217,316,307,296,337,322,330,326,341,430,367,395,379
"r319",5,4,11,197,257,244,310,352,330,323,328,329,341,270,352,318
"r531",5,2,26,479,664,749,762,719,701,710,675,748,828,814,824,742
"r5381",5,2,25,144,167,169,169,176,180,176,171,195,241,268,223,190
"s0093xa",5,4,8,93,105,109,98,119,121,139,105,126,97,108,108,123
"y999",5,6,8,199,305,394,446,484,639,548,416,485,438,475,576,581
"z331",5,4,22,162,235,214,245,268,247,212,259,255,294,274,281,221
"e785",4,3,63,985,1112,1088,1102,1064,1113,1136,1087,1226,1374,1471,1674,1915
"g8911",4,7,10,228,285,289,276,272,313,285,250,289,259,247,303,185
"g8929",4,3,37,514,698,630,855,874,887,804,861,817,1033,837,989,1122
"h6692",4,4,11,101,121,126,144,109,134,161,191,245,262,257,226,196
"imo0001",4,2,2,12,17,23,25,48,45,36,50,39,63,54,76,65
"j020",4,7,12,124,167,132,169,134,158,204,205,223,349,380,348,308
"o200",4,1,8,101,142,143,134,171,147,168,147,140,144,143,141,160
"r1013",4,8,21,364,491,511,570,610,595,600,576,643,690,611,737,649
"r102",4,7,14,246,337,374,435,442,389,396,349,352,438,418,451,509
"r1032",4,4,13,189,279,293,339,390,385,370,409,372,412,343,441,461
"r1084",4,0,24,421,553,554,658,708,676,635,674,704,856,729,788,844
"r202",4,0,5,129,228,215,213,267,256,252,230,207,265,252,273,250
